ano, estado, municipio, obitos
2015, AC, Brasiléia, 106
2015, AC, Bujari, 17
2015, AC, Cruzeiro do Sul, 438
2015, AC, Epitaciolândia, 32
2015, AC, Feijó, 116
2015, AC, Mâncio Lima, 29
2015, AC, Manoel Urbano, 40
2015, AC, Plácido de Castro, 30
2015, AC, Rio Branco, 1557
2015, AC, Rodrigues Alves, 22
2015, AC, Senador Guiomard, 49
2015, AC, Sena Madureira, 43
2015, AC, Xapuri, 45
2015, AC, Porto Walter, 11
2015, AC, Santa Rosa do Purus, 7
2015, AC, Acrelândia, 7
2015, AC, Tarauacá, 14
2015, AC, Assis Brasil, 1
2015, AL, Arapiraca, 544
2015, AL, Atalaia, 111
2015, AL, Barra de São Miguel, 7
2015, AL, Belém, 33
2015, AL, Canapi, 60
2015, AL, Craíbas, 56
2015, AL, Jacuípe, 9
2015, AL, Jaramataia, 10
2015, AL, Jundiá, 20
2015, AL, Junqueiro, 66
2015, AL, Lagoa da Canoa, 90
2015, AL, Maceio, 4551
2015, AL, Major Isidoro, 10
2015, AL, Maragogi, 74
2015, AL, Matriz de Camaragibe, 91
2015, AL, Olho D'água das Flores, 3
2015, AL, Olho D'água do Casado, 29
2015, AL, Palestina, 15
2015, AL, Palmeira dos Índios, 655
2015, AL, Pão de Açúcar, 30
2015, AL, Penedo, 344
2015, AL, Piranhas, 38
2015, AL, Poço das Trincheiras, 21
2015, AL, Porto Calvo, 26
2015, AL, Porto de Pedras, 6
2015, AL, Porto Real do Colégio, 56
2015, AL, Quebrangulo, 44
2015, AL, Roteiro, 14
2015, AL, Santana do Ipanema, 479
2015, AL, São José da Laje, 72
2015, AL, São Luís do Quitunde, 91
2015, AL, Satuba, 27
2015, AL, Teotônio Vilela, 14
2015, AL, União dos Palmares, 142
2015, AL, Capela, 3
2015, AL, Dois Riachos, 30
2015, AL, Piaçabuçu, 6
2015, AL, Santana do Mundaú, 2
2015, AL, Feira Grande, 25
2015, AL, Marechal Deodoro, 2
2015, AL, Branquinha, 1
2015, AL, Girau do Ponciano, 2
2015, AL, Messias, 36
2015, AL, Murici, 1
2015, AL, Ouro Branco, 15
2015, AL, Sao Miguel dos Campos, 3
2015, AL, São Sebastião, 2
2015, AL, Boca da Mata, 1
2015, AL, Minador do Negrão, 14
2015, AL, São Brás, 2
2015, AL, Traipu, 1
2015, AL, Cacimbinhas, 1
2015, AL, Rio Largo, 16
2015, AL, São Miguel dos Milagres, 4
2015, AL, Água Branca, 37
2015, AL, Taquarana, 24
2015, AL, Viçosa, 1
2015, AL, Inhapi, 2
2015, AL, Jequiá da Praia, 6
2015, AL, Campestre, 2
2015, AL, Flexeiras, 1
2015, AL, Mata Grande, 9
2015, AP, Ferreira Gomes, 17
2015, AP, Macapa, 2032
2015, AP, Santana, 279
2015, AP, Mazagão, 15
2015, AP, Porto Grande, 1
2015, AM, Borba, 47
2015, AM, Ipixuna, 26
2015, AM, Manaus, 2798
2015, AM, Tabatinga, 74
2015, AM, Tapauá, 38
2015, AM, Itapiranga, 30
2015, AM, Itacoatiara, 51
2015, BA, Acajutiba, 92
2015, BA, Alagoinhas, 801
2015, BA, Alcobaça, 55
2015, BA, Almadina, 32
2015, BA, Amargosa, 178
2015, BA, Amelia Rodrigues, 92
2015, BA, Angical, 5
2015, BA, Antas, 123
2015, BA, Antônio Gonçalves, 43
2015, BA, Aporá, 28
2015, BA, Araças, 44
2015, BA, Aramari, 23
2015, BA, Barra, 166
2015, BA, Barra da Estiva, 170
2015, BA, Barra do Choça, 157
2015, BA, Barreiras, 1149
2015, BA, Belmonte, 118
2015, BA, Bom Jesus da Lapa, 445
2015, BA, Boninal, 79
2015, BA, Brejoes, 106
2015, BA, Buritirama, 39
2015, BA, Caatiba, 34
2015, BA, Cachoeira, 209
2015, BA, Caculé, 201
2015, BA, Caetité, 218
2015, BA, Cairu, 11
2015, BA, Caldeirão Grande, 53
2015, BA, Camaçari, 1035
2015, BA, Camamu, 91
2015, BA, Campo Formoso, 318
2015, BA, Canarana, 64
2015, BA, Canavieiras, 168
2015, BA, Candeias, 513
2015, BA, Cândido Sales, 54
2015, BA, Casa Nova, 294
2015, BA, Castro Alves, 173
2015, BA, Catu, 117
